Name,Party,Chamber,State,Ticker,Date,Buy,Sell
Ro Khanna,Democrat,House,CA,N/A,2023-4-19,True,False
Ro Khanna,Democrat,House,CA,ALGN,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,ALB,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,EW,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,CTLT,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,NCLH,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,WBD,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,MPLX,2023-4-19,True,False
Ro Khanna,Democrat,House,CA,CCL,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,MTCH,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,KMX,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,VFC,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,CZR,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,ABT,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,ZION,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,DLTR,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,RCL,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,APTV,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,SCHW,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,DLR,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,ZBRA,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,EXPE,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,STZ,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,DG,2023-4-24,True,False
Ro Khanna,Democrat,House,CA,PFE,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,TSLA,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,CCI,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,DE,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,JNJ,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,ADP,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,N/A,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,AMD,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,TSN,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,TPR,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,KR,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,ENPH,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,CHTR,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,VZ,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,BAX,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,DIS,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,EWBC,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,WBA,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,CFG,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,WDC,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,RHI,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,LCID,2023-4-24,False,True
Ro Khanna,Democrat,House,CA,TD,2023-4-16,True,False
Ro Khanna,Democrat,House,CA,CM,2023-4-18,True,False
Ro Khanna,Democrat,House,CA,N/A,2023-4-23,True,False
Ro Khanna,Democrat,House,CA,BNPQY,2023-4-27,True,False
Ro Khanna,Democrat,House,CA,BNS,2023-4-16,True,False
