Name,Ticker,Party,Chamber,State,Buy Date,Sell Date
Bill Keating,ABNB,Democrat,House,MA,2023-1-17,2024-5-16
Bill Keating,BA,Democrat,House,MA,2023-9-14,2024-2-7
Bill Keating,BAC,Democrat,House,MA,2024-1-17,2024-9-10
Bill Keating,GM,Democrat,House,MA,2023-6-26,2024-9-10
Bill Keating,GOOGL,Democrat,House,MA,2023-2-12,2024-5-16
Bill Keating,JPM,Democrat,House,MA,2023-2-12,2024-9-10
Bill Keating,LOW,Democrat,House,MA,2024-4-10,2024-9-10
Bill Keating,META,Democrat,House,MA,2023-7-20,2024-9-10
Bill Keating,NXPI,Democrat,House,MA,2023-2-12,2024-9-10
Bill Keating,PEP,Democrat,House,MA,2023-8-9,2024-9-10
Bill Keating,TMUS,Democrat,House,MA,2024-6-5,2024-9-10
Bill Keating,UNP,Democrat,House,MA,2024-1-24,2024-9-10
Blake Moore,AAPL,Republican,House,UT,2023-12-21,2024-1-18
Byron Donalds,APPF,Republican,House,FL,2024-3-26,2024-9-30
Byron Donalds,DT,Republican,House,FL,2023-10-18,2024-2-21
Byron Donalds,HUM,Republican,House,FL,2023-2-23,2024-2-21
Byron Donalds,SNPS,Republican,House,FL,2024-2-21,2024-9-30
Byron Donalds,STM,Republican,House,FL,2023-2-23,2023-10-18
Dan Newhouse,INTU,Republican,House,WA,2023-4-25,2024-4-9
Dan Newhouse,NOW,Republican,House,WA,2023-4-25,2024-4-9
Dan Sullivan,ALGN,Republican,Senate,AK,2023-1-9,2023-8-21
Dan Sullivan,AMZN,Republican,Senate,AK,2023-1-9,2023-8-21
Dan Sullivan,CHD,Republican,Senate,AK,2023-2-20,2023-8-21
Dan Sullivan,GOOGL,Republican,Senate,AK,2023-2-9,2023-8-21
Dan Sullivan,ZTS,Republican,Senate,AK,2023-1-9,2023-8-21
Daniel S. Goldman,ABBV,Democrat,House,NY,2023-3-6,2023-7-13
Daniel S. Goldman,ADM,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,AEG,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,AIG,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,AMT,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,ANET,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,AON,Democrat,House,NY,2023-1-30,2023-7-9
Daniel S. Goldman,APTV,Democrat,House,NY,2023-1-30,2023-7-13
Daniel S. Goldman,ARE,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,ATUS,Democrat,House,NY,2023-4-9,2023-6-28
Daniel S. Goldman,AVB,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,BMY,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,BTI,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,BXP,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,CADE,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,CAG,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,CB,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,CCI,Democrat,House,NY,2023-4-9,2023-7-11
