Name,Ticker,Party,Chamber,State,Buy Date,Sell Date,Buy Price,Sell Price,Trade Return %,Market Buy Price,Market Sell Price,Market Return %,Overperformance %
Bill Keating,ABNB,Democrat,House,MA,2023-1-17,2024-5-16,99.91500091552734,147.19000244140625,47.31521902886968,3999.280029296875,5297.10009765625,32.45134271299198,14.863876315877697
Bill Keating,BA,Democrat,House,MA,2023-9-14,2024-2-7,209.13999938964844,211.9199981689453,1.3292525520751597,4487.77978515625,4995.06005859375,11.303591034376883,-9.974338482301723
Bill Keating,BAC,Democrat,House,MA,2024-1-17,2024-9-10,30.738856038606098,38.8177375793457,26.282310345554272,4739.1298828125,5495.52001953125,15.96052767960561,10.321782665948662
Bill Keating,GM,Democrat,House,MA,2023-6-26,2024-9-10,35.37188393035555,44.605567932128906,26.104586399621095,4344.83984375,5495.52001953125,26.483834091985912,-0.37924769236481737
Bill Keating,GOOGL,Democrat,House,MA,2023-2-12,2024-5-16,94.99582806779736,173.35121154785156,82.48297327766112,4068.919921875,5297.10009765625,30.18442730166319,52.298545975997925
Bill Keating,JPM,Democrat,House,MA,2023-2-12,2024-9-10,132.8613916846388,203.25823974609375,52.98518039653661,4068.919921875,5495.52001953125,35.0609037544995,17.924276642037114
Bill Keating,LOW,Democrat,House,MA,2024-4-10,2024-9-10,233.84525653595398,245.2633056640625,4.882737113101537,5167.8798828125,5495.52001953125,6.339933283055322,-1.457196169953785
Bill Keating,META,Democrat,House,MA,2023-7-20,2024-9-10,312.0293957162204,503.45452880859375,61.348429257116436,4554.3798828125,5495.52001953125,20.66450671518338,40.68392254193306
Bill Keating,NXPI,Democrat,House,MA,2023-2-12,2024-9-10,180.8868465048813,223.1032257080078,23.338556682720036,4068.919921875,5495.52001953125,35.0609037544995,-11.722347071779463
Bill Keating,PEP,Democrat,House,MA,2023-8-9,2024-9-10,174.05180742068032,174.76361083984375,0.4089606593070383,4501.56982421875,5495.52001953125,22.080079486160155,-21.671118826853117
Bill Keating,TMUS,Democrat,House,MA,2024-6-5,2024-9-10,177.2050101597322,195.14175415039062,10.122029831148833,5314.47998046875,5495.52001953125,3.406542873956444,6.715486957192389
Bill Keating,UNP,Democrat,House,MA,2024-1-24,2024-9-10,237.17749467831382,249.75779724121094,5.304172126432108,4888.56005859375,5495.52001953125,12.415925214430095,-7.111753087997987
Blake Moore,AAPL,Republican,House,UT,2023-12-21,2024-1-18,194.92966611931476,187.50425720214844,-3.8092759634756126,4724.2900390625,4780.93994140625,1.1991199074431034,-5.008395870918716
Byron Donalds,APPF,Republican,House,FL,2024-3-26,2024-9-30,242.99000549316406,235.39999389648438,-3.1235900346087337,5228.85009765625,5762.47998046875,10.20549208422883,-13.329082118837563
Byron Donalds,DT,Republican,House,FL,2023-10-18,2024-2-21,48.43000030517578,49.540000915527344,2.2919690343940284,4357.35009765625,4981.7998046875,14.33095099168487,-12.038981957290842
Byron Donalds,HUM,Republican,House,FL,2023-2-23,2024-2-21,490.90259382513324,362.29986572265625,-26.197198735577913,4018.60009765625,4981.7998046875,23.968538387111785,-50.1657371226897
Byron Donalds,SNPS,Republican,House,FL,2024-2-21,2024-9-30,539.0,506.3900146484375,-6.050090046672078,4963.02978515625,5762.47998046875,16.108107948566968,-22.158197995239046
Byron Donalds,STM,Republican,House,FL,2023-2-23,2023-10-18,47.71579157937147,41.30106735229492,-13.443608530325141,4018.60009765625,4314.60009765625,7.365749086917973,-20.809357617243116
Dan Newhouse,INTU,Republican,House,WA,2023-4-25,2024-4-9,432.1299005530565,641.055908203125,48.347963744854724,4126.43017578125,5209.91015625,26.257077772159725,22.090885972695
Dan Newhouse,NOW,Republican,House,WA,2023-4-25,2024-4-9,466.75,782.219970703125,67.58863860806106,4126.43017578125,5209.91015625,26.257077772159725,41.331560835901335
Dan Sullivan,ALGN,Republican,Senate,AK,2023-1-9,2023-8-21,224.02999877929688,342.5899963378906,52.92148292845062,3910.820068359375,4399.77001953125,12.502491616214757,40.41899131223587
Dan Sullivan,AMZN,Republican,Senate,AK,2023-1-9,2023-8-21,87.45999908447266,134.67999267578125,53.99038884702192,3910.820068359375,4399.77001953125,12.502491616214757,41.487897230807164
Dan Sullivan,CHD,Republican,Senate,AK,2023-2-20,2023-8-21,81.03887566046458,90.91160583496094,12.18270872347855,4077.389892578125,4399.77001953125,7.906531762879432,4.276176960599118
Dan Sullivan,GOOGL,Republican,Senate,AK,2023-2-9,2023-8-21,99.52418468225432,127.75918579101562,28.369989866187527,4144.25,4399.77001953125,6.16565167476021,22.20433819142732
Dan Sullivan,ZTS,Republican,Senate,AK,2023-1-9,2023-8-21,145.76443681101472,178.07083129882812,22.16342696106254,3910.820068359375,4399.77001953125,12.502491616214757,9.660935344847784
Daniel S. Goldman,ABBV,Democrat,House,NY,2023-3-6,2023-7-13,144.47086498515816,126.40953063964844,-12.501713994281966,4055.14990234375,4510.0400390625,11.217591153802667,-23.719305148084633
Daniel S. Goldman,ADM,Democrat,House,NY,2023-3-5,2023-7-11,75.33122482835148,75.9305419921875,0.7955760246851342,3998.02001953125,4439.259765625,11.036456644493827,-10.240880619808692
Daniel S. Goldman,AEG,Democrat,House,NY,2023-3-30,2023-7-9,3.853837950409608,4.689630031585693,21.687265835535527,4046.739990234375,4398.9501953125,8.703554118329357,12.98371171720617
Daniel S. Goldman,AIG,Democrat,House,NY,2023-2-28,2023-4-9,57.806503648635335,48.89128875732422,-15.422511877729836,3977.18994140625,4105.02001953125,3.2140802930775285,-18.636592170807365
Daniel S. Goldman,AMT,Democrat,House,NY,2023-4-9,2023-7-11,192.09492276808018,184.8789520263672,-3.7564609401077047,4081.14990234375,4439.259765625,8.77472947209296,-12.531190412200663
Daniel S. Goldman,ANET,Democrat,House,NY,2023-1-30,2023-7-11,31.252500534057617,40.04249954223633,28.125746285804404,4049.27001953125,4439.259765625,9.631112378593508,18.494633907210897
Daniel S. Goldman,AON,Democrat,House,NY,2023-1-30,2023-7-9,313.96916248500384,331.3157043457031,5.524918983573049,4049.27001953125,4398.9501953125,8.635634919247236,-3.110715935674187
Daniel S. Goldman,APTV,Democrat,House,NY,2023-1-30,2023-7-13,108.37000274658203,112.37000274658203,3.6910583174513754,4049.27001953125,4510.0400390625,11.3790885099974,-7.688030192546025
Daniel S. Goldman,ARE,Democrat,House,NY,2023-3-5,2023-7-11,132.12073855517482,110.5544662475586,-16.323154520219365,3998.02001953125,4439.259765625,11.036456644493827,-27.359611164713193
Daniel S. Goldman,ATUS,Democrat,House,NY,2023-4-9,2023-6-28,3.2300000190734863,2.7300000190734863,-15.479876069580431,4081.14990234375,4376.85986328125,7.245751026387874,-22.725627095968306
Daniel S. Goldman,AVB,Democrat,House,NY,2023-3-5,2023-7-11,159.35503725625966,184.43626403808594,15.739211771193041,3998.02001953125,4439.259765625,11.036456644493827,4.7027551266992145
Daniel S. Goldman,BMY,Democrat,House,NY,2023-4-9,2023-7-11,64.38042032552448,58.52145767211914,-9.100534951124695,4081.14990234375,4439.259765625,8.77472947209296,-17.875264423217654
Daniel S. Goldman,BTI,Democrat,House,NY,2023-2-26,2023-7-9,31.60422149449919,27.774486541748047,-12.117795571764738,3973.239990234375,4398.9501953125,10.714434721397563,-22.8322302931623
Daniel S. Goldman,BXP,Democrat,House,NY,2023-3-5,2023-7-11,57.86537597112356,55.79457092285156,-3.5786599732893625,3998.02001953125,4439.259765625,11.036456644493827,-14.615116617783189
Daniel S. Goldman,CADE,Democrat,House,NY,2023-4-9,2023-7-11,18.72013894749472,18.918102264404297,1.0574885019006155,4081.14990234375,4439.259765625,8.77472947209296,-7.717240970192344
Daniel S. Goldman,CAG,Democrat,House,NY,2023-1-30,2023-7-11,33.340737502009674,30.45284652709961,-8.66174893322618,4049.27001953125,4439.259765625,9.631112378593508,-18.29286131181969
